,Museum Name,Exhibition Name,When
0,Albertina,Edvard Munch. In Dialogue,Until 19 June 2022
1,Albertina,Monet to Picasso. The Batliner Collection,
2,Albertina,Ben Willikens. Cold - Chambers,Until 1 May 2022
3,Albertina,Michael Schmidt,Until 26 June 2022
4,Albertina,State Rooms,
5,Albertina,Tony Cragg,From 7 July 2022
6,Albertina,The Chobot Collection,From 13 July 2022
7,Albertina,Francesco Clemente,From 28 July 2022
8,Albertina,Basquiat. Of Symbols and Signs,From 9 September 2022
9,Albertina,Two Artist Collectives in Austria,From 5 October 2022
